country;date;cpi
Bulgaria;2022-09;15,6295487627365
Croatia;2022-11;12,9506378258458
Czechia;2023-01;19,0553745928339
Estonia;2022-08;25,1596754703953
Hungary;2023-01;26,1950748430710
Latvia;2022-09;22,0470360257201
Lithuania;2022-09;22,5195378865104
Poland;2023-02;17,1926910299003
Romania;2022-11;14,5916208209903
Serbia;2023-03;15,4849225753871
Slovakia;2023-02;15,4021628928692
Slovenia;2022-07;11,6993464052288
